nohup: ignoring input
[ Info: Progress 19.1% | step 1567/8192 | elapsed 00:04:48 | remaining ≈ 00:20:19
[ Info: Progress 19.5% | step 1594/8192 | elapsed 00:04:54 | remaining ≈ 00:20:15
[ Info: Progress 19.8% | step 1623/8192 | elapsed 00:04:59 | remaining ≈ 00:20:09
[ Info: Progress 20.2% | step 1651/8192 | elapsed 00:05:04 | remaining ≈ 00:20:03
[ Info: Progress 20.5% | step 1677/8192 | elapsed 00:05:09 | remaining ≈ 00:20:00
[ Info: Progress 20.8% | step 1706/8192 | elapsed 00:05:14 | remaining ≈ 00:19:53
[ Info: Progress 21.2% | step 1734/8192 | elapsed 00:05:19 | remaining ≈ 00:19:48
[ Info: Progress 21.5% | step 1763/8192 | elapsed 00:05:24 | remaining ≈ 00:19:43
[ Info: Progress 21.9% | step 1791/8192 | elapsed 00:05:29 | remaining ≈ 00:19:37
[ Info: Progress 22.2% | step 1819/8192 | elapsed 00:05:34 | remaining ≈ 00:19:31
[ Info: Progress 22.6% | step 1848/8192 | elapsed 00:05:39 | remaining ≈ 00:19:25
[ Info: Progress 22.9% | step 1874/8192 | elapsed 00:05:45 | remaining ≈ 00:19:22
[ Info: Progress 23.2% | step 1902/8192 | elapsed 00:05:50 | remaining ≈ 00:19:17
[ Info: Progress 23.6% | step 1931/8192 | elapsed 00:05:55 | remaining ≈ 00:19:12
[ Info: Progress 23.9% | step 1960/8192 | elapsed 00:06:00 | remaining ≈ 00:19:05
